path,kind,size,is_text,python_syntax_ok,contains_ellipsis_placeholders,json_ok,yaml_ok,routes_count
.DS_Store,config,6148,0,,0,,,0
.env.enhanced,other,1157,1,,0,,,0
.env.example,other,322,1,,0,,,0
.github/workflows/ci.yml,yaml,10962,1,,0,,True,0
.gitignore,config,252,1,,0,,,0
__init__.py,python,76,1,True,0,,,0
agent/__init__.py,python,71,1,True,0,,,0
agent/agent.py,python,3855,1,True,1,,,0
agents/aws_agent/__init__.py,python,75,1,True,0,,,0
agents/aws_agent/agent.py,python,21922,1,True,1,,,0
agents/aws_agent/requirements.txt,other,103,1,,0,,,0
agents/cross_platform/__init__.py,python,80,1,True,0,,,0
agents/cross_platform/agent.py,python,693,1,True,0,,,0
agents/kali_gateway/__init__.py,python,78,1,True,0,,,0
agents/kali_gateway/agent.py,python,693,1,True,0,,,0
agents/msf_agent/__init__.py,python,75,1,True,0,,,0
agents/msf_agent/agent.py,python,20382,1,True,1,,,0
agents/msf_agent/requirements.txt,other,53,1,,0,,,0
agents/network_agent/__init__.py,python,79,1,True,0,,,0
agents/network_agent/agent.py,python,4305,1,True,0,,,0
agents/nuclei_agent/__init__.py,python,78,1,True,0,,,0
agents/nuclei_agent/agent.py,python,3690,1,True,0,,,0
agents/semgrep_agent/__init__.py,python,79,1,True,0,,,0
agents/semgrep_agent/agent.py,python,7080,1,True,0,,,0
agents/zap_agent/__init__.py,python,75,1,True,0,,,0
agents/zap_agent/agent.py,python,15336,1,True,1,,,0
agents/zap_agent/Dockerfile,config,673,1,,0,,,0
agents/zap_agent/requirements.txt,other,229,1,,0,,,0
agents/zap_auth_agent/__init__.py,python,80,1,True,0,,,0
agents/zap_auth_agent/agent.py,python,4533,1,True,0,,,0
catalog/packs/pack_api_minimal.json,json,194,1,,0,True,,0
catalog/packs/pack_owasp_web_core.json,json,196,1,,0,True,,0
catalog/packs/pack_standard_network.json,json,252,1,,0,True,,0
catalog/tests/api_auth_fuzz.json,json,718,1,,0,True,,0
catalog/tests/api_schema_conformance.json,json,616,1,,0,True,,0
catalog/tests/cloud_cis_aws_foundation.json,json,669,1,,0,True,,0
catalog/tests/code_sast_java.json,json,716,1,,0,True,,0
catalog/tests/code_sast_javascript.json,json,640,1,,0,True,,0
catalog/tests/core.json,json,631,1,,0,True,,0
catalog/tests/mobile_static_analysis_apk.json,json,618,1,,0,True,,0
catalog/tests/network_discovery_ping_sweep.json,json,744,1,,0,True,,0
catalog/tests/network_enum_smb.json,json,641,1,,0,True,,0
catalog/tests/network_nmap_tcp_top_1000.json,json,1008,1,,0,True,,0
catalog/tests/network_nmap_udp_top_100.json,json,804,1,,0,True,,0
catalog/tests/web_crawling_dynamic.json,json,703,1,,0,True,,0
catalog/tests/web_owasp_top10_core.json,json,816,1,,0,True,,0
DEVELOPMENT_PLAN.md,markdown,6186,1,,0,,,0
docker-compose.yml,yaml,1548,1,,0,,True,0
docs/API.md,markdown,81,1,,0,,,0
infra/agent.aws.DockerFile,other,1063,1,,0,,,0
infra/agent.msf.dockerfile,other,1095,1,,0,,,0
infra/docker-compose.agents.enhanced.yml,yaml,1666,1,,0,,True,0
infra/docker-compose.opa.compat.yml,yaml,1068,1,,0,,True,0
infra/docker-compose.v2.yml,yaml,2131,1,,0,,True,0
infra/init.sql,other,791,1,,0,,,0
